Algorithm,Time_seconds,File_size_bytes,,,,Algorithm,File_size_bytes,Time_seconds
RSA_2048,0.0557965,1704,,0.09253115,,RSA_2048,1704,0.0925
RSA_2048,0.0729632,1704,,,,RSA_4096,3272,0.856
RSA_2048,0.0973423,1704,,,,dilithium3,8155,0.032
RSA_2048,0.125325,1704,,,,dilithium5,10194,0.03
RSA_2048,0.1042175,1708,,,,,,
RSA_2048,0.1347344,1704,,,,,,
RSA_2048,0.0777897,1704,,,,,,
RSA_2048,0.0624023,1704,,,,,,
RSA_2048,0.0682288,1704,,,,,,
RSA_2048,0.1265118,1704,,,,,,
RSA_4096,1.9400349,3272,,0.85591341,,,,
RSA_4096,0.2644884,3272,,,,,,
RSA_4096,1.418235,3272,,,,,,
RSA_4096,0.346591,3272,,,,,,
RSA_4096,0.6093669,3272,,,,,,
RSA_4096,0.9599242,3272,,,,,,
RSA_4096,0.2306034,3268,,,,,,
RSA_4096,1.7494228,3268,,,,,,
RSA_4096,0.548332,3268,,,,,,
RSA_4096,0.4921355,3272,,,,,,
dilithium3,0.0372288,8155,,0.03219044,,,,
dilithium3,0.032103,8155,,,,,,
dilithium3,0.0323777,8155,,,,,,
dilithium3,0.02918,8155,,,,,,
dilithium3,0.0358218,8155,,,,,,
dilithium3,0.0274845,8155,,,,,,
dilithium3,0.0341569,8155,,,,,,
dilithium3,0.0352933,8155,,,,,,
dilithium3,0.0278118,8155,,,,,,
dilithium3,0.0304466,8155,,,,,,
dilithium5,0.0305833,10194,,0.0300632,,,,
dilithium5,0.028929,10194,,,,,,
dilithium5,0.0303837,10194,,,,,,
dilithium5,0.0279095,10194,,,,,,
dilithium5,0.0354878,10194,,,,,,
dilithium5,0.0295763,10194,,,,,,
dilithium5,0.0293333,10194,,,,,,
dilithium5,0.0299599,10194,,,,,,
dilithium5,0.0287764,10194,,,,,,
dilithium5,0.0296928,10194,,,,,,
